Location,Latitude,Longitude,"Coordinates, ",Report Number,Last Modified,Repored On,Incident From,Incident To,Incident Type,,Description
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",16-5516, 04-04-201709:32, 04-04-201709:31, 04-04-201709:31, 04-04-201709:31, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",16-5628, 02-23-201708:22, 02-23-201708:21, 02-23-201708:21, 02-23-201708:21, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",16-5655, 03-19-201714:13, 03-18-201715:33, 03-18-201715:33, 03-18-201715:33, Supplement,, Case status changed. Warrant issued.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",16-5655, 03-19-201714:14, 03-19-201710:34, 03-19-201710:34, 03-19-201710:34, Supplement,," Male non-affiliate, Douglas Burnside, age 48, was arrested on an outstanding warrant. Arrest adult."
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",16-5734, 01-14-201722:55, 01-14-201719:22, 01-14-201719:22, 01-14-201719:22, Supplement,," Case status changed. Male non-affiliate, Herbert Oklahoma Slaughter, age 51, was arrested on an outstanding warrant. Arrest adult."
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0115, 01-17-201717:18, 01-17-201717:16, 01-17-201717:16, 01-17-201717:16, Supplement,, Status changed to Unfounded.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0118, 01-25-201711:57, 01-25-201711:56, 01-25-201711:56, 01-25-201711:56, Supplement,," Incident type changed to Menacing by Stalking, case status is now Case Closed"
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0121, 01-17-201703:31, 01-17-201703:29, 01-11-201723:00, 01-12-201707:54, Supplement,, Case now marked unfounded
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0171, 04-18-201708:49, 04-18-201708:48, 04-18-201708:48, 04-18-201708:48, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0198, 01-29-201720:16, 01-29-201720:15, 01-29-201720:15, 01-29-201720:15, Supplement,, Case status changed to Closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0234, 08-11-201710:56, 08-11-201710:54, 08-11-201710:54, 08-11-201710:54, Supplement,, Case status changed to Instigation Pending
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0234, 08-25-201709:43, 08-25-201709:42, 08-25-201709:42, 08-25-201709:42, Supplement,, Case status changed to Warrant Issued
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0234, 01-23-201708:42, 01-23-201708:41, 01-23-201708:41, 01-23-201708:41, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0310, 01-25-201712:09, 01-25-201712:07, 01-25-201712:07, 01-25-201712:07, Supplement,, Incident type changed to Violation of a Protection Order
" Blankenhip Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0352, 01-27-201709:00, 01-27-201708:58, 01-27-201708:58, 01-27-201708:58, Supplement,, Incident type changed to Telecommunication Harassment by known suspect. Investigation pending.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0387, 02-08-201716:20, 02-08-201716:19, 02-08-201716:19, 02-08-201716:19, Supplement,, Case status changed to case closed
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0436, 02-02-201702:30, 02-02-201702:29, 02-02-201702:29, 02-02-201702:29, Supplement,, Case status change. Case closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0440, 02-02-201712:45, 02-02-201712:41, 02-02-201712:41, 02-02-201712:41, Supplement,, Incident type change to Forgery.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0442, 02-03-201718:27, 02-03-201714:52, 02-03-201714:52, 02-03-201714:52, Supplement,," Case status changed. Male non-affiliate, Dwight Benjamin Long, age 45, was arrested on an outstanding warrant. Arrest adult."
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0462, 02-13-201709:11, 02-13-201709:11, 02-13-201709:11, 02-13-201709:11, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0517, 04-03-201707:36, 04-03-201707:35, 04-03-201707:35, 04-03-201707:35, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0578, 02-09-201714:42, 02-09-201710:44, 04-13-201601:47, 04-13-201602:40, Supplement,," Incident type changed to Pandering Obscenity, incident times changed above."
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0590, 02-16-201708:27, 02-16-201708:26, 02-16-201708:26, 02-16-201708:26, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0599, 02-12-201710:48, 02-12-201710:47, 02-12-201710:47, 02-12-201710:47, Supplement,, Case status changed to case closed
" Blankenship Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0602, 02-10-201714:09, 02-10-201713:00, 02-10-201713:00, 02-10-201713:00, Supplement,, Incident type changed to Burglary.
" Blankenship Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0615, 02-14-201710:52, 02-14-201710:37, 02-14-201710:37, 02-14-201710:37, Supplement,, Status changed to Case Closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0618, 02-16-201708:23, 02-16-201708:22, 02-16-201708:22, 02-16-201708:22, Supplement,, Case status changed to Unfounded
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0655, 02-16-201708:30, 02-16-201708:30, 02-16-201708:30, 02-16-201708:20, Supplement,, Case status changed to closed.
" Blankenship Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0656, 02-14-201714:36, 02-14-201714:30, 02-14-201714:30, 02-14-201714:30, Supplement,, Incident Type changed to Menacing.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0707, 03-08-201709:02, 03-08-201709:01, 03-08-201709:01, 03-08-201709:01, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0717, 02-22-201720:17, 02-22-201720:16, 02-22-201720:16, 02-22-201720:16, Supplement,, Case status changed to Closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0810, 02-25-201718:55, 02-25-201718:54, 02-25-201718:54, 02-25-201718:54, Supplement,, Case status changed to Closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0821, 02-23-201708:47, 02-23-201708:47, 02-23-201708:47, 02-23-201708:47, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0845, 10-04-201713:38, 10-04-201713:37, 10-04-201713:37, 10-04-201713:37, Supplement,, Case status changed to warrant issued.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0896, 03-03-201701:44, 03-03-201701:44, 03-03-201701:44, 03-03-201701:44, Supplement,, Case status changed.  Case closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0896, 03-03-201701:44, 03-03-201701:44, 03-03-201701:44, 03-03-201701:44, Supplement,, Case status changed.  Case closed.
" Blankenship Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0901, 02-27-201709:08, 02-27-201712:23, 02-27-201712:23, 02-27-201712:23, Supplement,, Incident type change. Male staff reports Possession of Drugs by a known suspect. Case Closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0938, 03-03-201720:21, 03-03-201720:18, 03-03-201720:18, 03-03-201720:18, Supplement,, Case status changed. Warrant issued.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0938, 03-03-201720:21, 03-03-201720:18, 03-03-201720:18, 03-03-201720:18, Supplement,, Case status changed. Warrant issued.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-0947, 03-09-201707:48, 03-09-201707:48, 03-09-201707:48, 03-09-201707:48, Supplement,, Case status changed to Case Closed
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1049, 04-05-201718:36, 04-05-201718:35, 04-05-201718:35, 04-05-201718:35, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1111, 03-14-201722:54, 03-14-201722:27, 03-14-201722:27, 03-14-201722:27, Supplement,," Case status changed. Male non-affiliate, Jacob Clay Rexrode, age 24, was arrested on an outstanding warrant. Arrest adult."
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1141, 04-06-201709:48, 04-06-201709:47, 04-06-201709:47, 04-06-201709:47, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1228, 03-29-201722:40, 03-29-201722:39, 03-29-201722:39, 03-29-201722:39, Supplement,, Case status changed. Warrant issued.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1260, 04-06-201718:14, 04-06-201718:13, 04-06-201718:13, 04-06-201718:13, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1284, 04-13-201709:41, 04-13-201709:40, 04-13-201709:40, 04-13-201709:40, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1299, 04-06-201723:54, 04-06-201723:53, 04-06-201723:53, 04-06-201723:53, Supplement,, Case status change. Case closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1301, 04-12-201714:32, 04-12-201714:31, 04-12-201714:31, 04-12-201714:31, Supplement,, Case status changed to warrant issued.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1301, 06-04-201718:33, 06-04-201716:08, 06-04-201716:08, 06-04-201716:08, Supplement,," Female non-affiliate, Katessa Shay Binkley, age 23, was arrested on an outstanding warrant. Arrest adult."
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1303, 03-28-201711:46, 03-28-201711:46, 03-28-201711:46, 03-28-201711:46, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1308, 04-04-201717:16, 04-04-201717:15, 04-04-201717:15, 04-04-201717:15, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1397, 04-10-201703:48, 04-10-201703:46, 04-10-201703:46, 04-10-201703:46, Supplement,, suspect changed to known suspect and status changed to investigation pending.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1397, 04-13-201704:06, 04-13-201704:05, 04-13-201704:05, 04-13-201704:05, Supplement,, Incident Type changed. Female non-affiliate reports Burglary by known suspect. Investigation pending.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1397, 04-25-201715:21, 04-25-201712:05, 04-25-201712:05, 04-25-201712:05, Supplement,," Male student, Gregory George Bak, age 22, was arrested on an outstanding warrant. Arrest adult."
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1422, 04-11-201714:04, 04-11-201714:04, 04-11-201714:04, 04-11-201714:04, Supplement,, Case status changed to Warrant Issued.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1467, 04-05-201721:23, 04-05-201721:23, 04-05-201721:23, 04-05-201721:23, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1471, 04-13-201716:26, 04-13-201716:26, 04-13-201716:26, 04-13-201716:26, Supplement,, Case status changed to Warrant Issued.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1538, 04-08-201715:42, 04-08-201715:33, 04-08-201715:33, 04-08-201715:33, Supplement,, Case status changed to Warrant Issued.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1564, 04-11-201714:06, 04-11-201714:06, 04-11-201714:06, 04-11-201714:06, Supplement,, Case status changed to Warrant Issued.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1564, 04-14-201721:15, 04-14-201719:57, 04-14-201719:57, 04-14-201719:57, Supplement,," Case status changed. Male non-affiliate, Michael C. Gordon, age 25, was arrested on an outstanding warrant. Arrest adult."
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1585, 04-19-201715:41, 04-19-201715:41, 04-19-201715:41, 04-19-201715:41, Supplement,, Case status changed to Warrant Issued.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1715, 04-19-201709:35, 04-19-201709:33, 04-19-201709:33, 04-19-201709:33, Supplement,, Case status change. Unfounded.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1719, 06-20-201707:32, 06-20-201707:31, 06-20-201707:31, 06-20-201707:31, Supplement,, Case status changed to case closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1727, 04-24-201707:52, 04-24-201707:51, 04-24-201707:51, 04-24-201707:51, Supplement,, Case Status changed to female non-affiliate reports traffic crash injury accident. Case Closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1762, 04-26-201712:03, 04-26-201712:01, 04-26-201712:01, 04-26-201712:01, Supplement,," Dale R. Moose non-affiliate, male, age 34 was issued a summons for Theft. Arrest-Adult"
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1777, 06-16-201713:25, 06-16-201713:25, 06-16-201713:25, 06-16-201713:25, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1780, 04-27-201715:03, 04-27-201715:00, 04-27-201715:00, 04-27-201715:00, Supplement,, Case status changed to Investigation pending.
" Blankenship Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1780, 05-01-201713:23, 05-01-201713:21, 05-01-201713:21, 05-01-201713:21, Supplement,, Case type change from Theft (of auto) to Burglary.
" Blankenship Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1780, 05-01-201713:23, 05-01-201713:21, 05-01-201713:21, 05-01-201713:21, Supplement,, Case type change from Theft (of auto) to Burglary.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1817, 04-24-201710:24, 04-24-201710:21, 04-24-201710:21, 04-24-201710:21, Supplement,, Case status change. Male student reports Disorderly Conduct. Case Closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1884, 04-30-201718:45, 04-30-201716:02, 04-30-201716:02, 04-30-201716:02, Supplement,, Case status changed. Unfounded.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1936, 06-11-201714:10, 06-11-201714:10, 06-11-201714:10, 06-11-201714:10, Supplement,, Case status changed to Warrant Issued.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1948, 05-27-201711:15, 05-27-201711:14, 05-27-201711:14, 05-27-201711:14, Supplement,, Case status changed to Unfounded
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1964, 05-04-201714:04, 05-04-201714:02, 05-04-201714:02, 05-04-201714:02, Supplement,, Case time frame changed to 4/28/17 4:00PM - 4:10PM. Case Closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-1974, 05-05-201721:17, 05-05-201721:15, 05-05-201721:15, 05-05-201721:15, Supplement,, Case status changed to Theft. Case closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-2134, 05-16-201709:02, 05-16-201709:01, 05-16-201709:01, 05-16-201709:01, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-2324, 05-26-201719:34, 05-26-201719:33, 05-26-201719:33, 05-26-201719:33, Supplement,, Case status changed to unfounded.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-2360, 06-05-201719:50, 06-05-201719:45, 06-05-201719:45, 06-05-201719:45, Supplement,, Case status changed to unfounded.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-2478, 06-19-201718:06, 06-19-201718:06, 06-19-201718:06, 06-19-201718:06, Supplement,, Case status changed to Unfounded
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-2542, 06-14-201712:59, 06-14-201712:58, 06-14-201712:58, 06-14-201712:58, Supplement,, Incident type Investigation Pending
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-2543, 06-15-201710:19, 06-15-201710:18, 06-15-201710:18, 06-15-201710:18, Supplement,, Case status changed to warrant issued for domestic violence and assault.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-2617, 06-13-201723:39, 06-13-201723:30, 06-13-201723:30, 06-13-201723:30, Supplement,, Case status changed. Case closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-2634, 06-19-201716:36, 06-19-201716:35, 06-19-201716:35, 06-19-201716:35, Supplement,, Case status changed to Warrant Issued
" Blankenship Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-2687, 06-24-201714:51, 06-24-201714:50, 06-24-201714:50, 06-24-201714:50, Supplement,, Case Status changed to case closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-2708, 06-20-201700:50, 06-20-201700:49, 06-20-201700:49, 06-20-201700:49, Supplement,, Status Changed to Warrant Issued.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-2748, 07-26-201714:15, 07-26-201714:15, 07-26-201714:15, 07-26-201714:15, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-2757, 09-12-201708:30, 09-12-201708:27, 09-12-201708:27, 09-12-201708:27, Supplement,, Case status changed to investigation pending.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-2795, 07-04-201723:36, 07-04-201723:34, 07-04-201723:34, 07-04-201723:34, Supplement,, Report status now changed to closed
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-2819, 06-28-201720:15, 06-28-201709:09, 06-28-201709:09, 06-28-201709:09, Supplement,, Case status changed to case closed
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-2858, 07-04-201711:03, 07-04-201711:00, 07-04-201711:00, 07-04-201711:00, Supplement,, Case status changed to Arrest Juvenile.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-2912, 07-11-201721:11, 07-11-201721:11, 07-11-201721:11, 07-11-201721:11, Supplement,, Case status changed to unfounded.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-2926, 07-07-201719:35, 07-07-201715:38, 07-07-201715:38, 07-07-201715:38, Supplement,," Male non-affiliate, Djuan Allen Spencer, age 39, was arrested on an outstanding warrant. Arrest adult."
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-2982, 07-09-201705:30, 07-09-201705:28, 07-09-201705:28, 12-31-196919:00, Supplement,, Status changed to Investigation Pending.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3040, 07-29-201706:10, 07-29-201706:09, 07-29-201706:09, 07-29-201706:09, Supplement,, Status Changed to Case Closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3079, 07-17-201707:21, 07-17-201707:15, 07-17-201707:15, 07-17-201707:15, Supplement,, Status changed to Warrant Issued.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3096, 07-18-201707:38, 07-18-201707:37, 07-18-201707:37, 07-18-201707:37, Supplement,, Case Status changed to Male non-affiliate arrested for out standing warrant. Case Closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3130, 07-20-201717:53, 07-20-201717:53, 07-19-201716:45, 07-19-201716:45, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3242, 07-30-201709:00, 07-30-201709:00, 07-30-201709:00, 07-30-201709:00, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3314, 08-04-201714:44, 08-04-201714:44, 08-04-201714:44, 08-04-201714:44, Supplement,, Case status changed to closed.
" Blankenship Halll Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3388, 08-14-201709:07, 08-14-201709:06, 08-14-201709:06, 08-14-201709:06, Supplement,, Case status changed to Investigation Pending.
" Blankenship Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3388, 08-21-201721:17, 08-21-201721:14, 08-21-201721:14, 08-21-201721:14, Supplement,," Case status change. Male student, Sam K. Benson 19 yoa, was issued summons for Menacing. Arrest-Adult."
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3393, 08-10-201708:19, 08-10-201708:18, 08-10-201708:18, 08-10-201708:18, Supplement,, case status changed to unfounded.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3433, 08-16-201711:18, 08-16-201711:09, 08-16-201711:09, 08-16-201711:09, Supplement,, Case status change male student reports administrative information. Case closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3539, 08-31-201700:35, 08-31-201700:33, 08-31-201700:33, 08-31-201700:33, Supplement,, Incident status changed to Possession of Criminal Tools. Case closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3551, 09-08-201712:14, 09-08-201712:13, 09-08-201712:13, 09-08-201712:13, Supplement,, Case status changed to unfounded.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3593, 08-25-201716:33, 08-25-201716:32, 08-25-201716:32, 08-25-201716:32, Supplement,, Case status changed to Theft. Case closed
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3653, 08-22-201716:19, 08-22-201716:20, 08-22-201716:20, 08-22-201716:20, Supplement,, Case status has be changed to Investigation Pending.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3676, 09-02-201714:54, 09-02-201713:21, 09-02-201713:21, 09-02-201713:21, Supplement,," William J. Gaskeen non-affiliate, male, age 20 was arrested for criminal simulation. Arrest-Adult"
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3701, 08-31-201710:45, 08-31-201710:43, 08-31-201710:43, 08-31-201710:43, Supplement,, Case status changed to Unfounded
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3720, 10-02-201709:04, 10-02-201709:03, 10-02-201709:03, 10-02-201709:03, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3897, 09-08-201703:24, 09-08-201700:08, 09-08-201700:08, 09-08-201700:08, Supplement,," Male student, Patrick D. OToole 19 yoa, arrested for Possession of Drugs. Arrest adult."
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3916, 09-21-201718:46, 09-21-201718:46, 09-21-201718:46, 09-21-201718:46, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3955, 09-05-201722:31, 09-05-201722:30, 09-05-201722:30, 09-05-201722:30, Supplement,, Case status changed to closed.
" Blankenship Hall Ohio State Campus, Columbus, Ohio",40.0023255,-83.033691,"40.0023255, -83.033691",17-3994, 09-07-201710:39, 09-07-201710:38, 09-07-201710:38, 09-07-201710:38, Supplement,, Case status changed to forgery.
